Dataset,Features,Model,BalAcc,Sens,Spec,f1,AUC,Acc,Prec,Classifier,Hyperparams,Estimator_Desc,Estimator_Class,Estimator_Hyperparams
Ensemble-Imbalance,All Features,Balanced Bagging,0.8,0.74,0.85,0.54,0.88,0.84,0.43,BalancedBaggingClassifier,"{'estimator': GaussianNB(), 'n_estimators': 3, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': False}",Naïve Bayes,GaussianNB,
Ensemble-Imbalance,All Features,Balanced Bagging,0.79,0.74,0.83,0.51,0.87,0.82,0.39,BalancedBaggingClassifier,"{'estimator': DecisionTreeClassifier(class_weight='balanced', max_depth=5, random_state=42), 'n_estimators': 3, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}",Decision Tree,DecisionTreeClassifier,"{'class_weight': 'balanced', 'max_depth': '5', 'random_state': '42'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.79,0.74,0.83,0.51,0.87,0.82,0.39,BalancedBaggingClassifier,"{'estimator': DecisionTreeClassifier(class_weight='balanced', max_depth=5, random_state=42), 'n_estimators': 3, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': False}",Decision Tree,DecisionTreeClassifier,"{'class_weight': 'balanced', 'max_depth': '5', 'random_state': '42'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.79,0.74,0.83,0.51,0.87,0.82,0.39,BalancedBaggingClassifier,"{'estimator': DecisionTreeClassifier(class_weight='balanced', max_depth=5, random_state=42), 'n_estimators': 3, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': False}",Decision Tree,DecisionTreeClassifier,"{'class_weight': 'balanced', 'max_depth': '5', 'random_state': '42'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.77,0.72,0.81,0.48,0.85,0.8,0.37,BalancedBaggingClassifier,"{'estimator': KNeighborsClassifier(metric='manhattan', weights='distance'), 'n_estimators': 3, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}",k-NN,KNeighborsClassifier,"{'metric': 'manhattan', 'weights': 'distance'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.77,0.72,0.81,0.48,0.85,0.8,0.36,BalancedBaggingClassifier,"{'estimator': KNeighborsClassifier(metric='manhattan', weights='distance'), 'n_estimators': 3, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': False}",k-NN,KNeighborsClassifier,"{'metric': 'manhattan', 'weights': 'distance'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.77,0.72,0.81,0.48,0.85,0.8,0.36,BalancedBaggingClassifier,"{'estimator': KNeighborsClassifier(metric='manhattan', weights='distance'), 'n_estimators': 3, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': False}",k-NN,KNeighborsClassifier,"{'metric': 'manhattan', 'weights': 'distance'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.51,0.99,0.04,0.23,0.54,0.16,0.13,BalancedBaggingClassifier,"{'estimator': RadiusNeighborsClassifier(leaf_size=50, metric='manhattan', outlier_label=1,    radius=0.3, weights='distance'), 'n_estimators': 3, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}",k-NN,RadiusNeighborsClassifier,"{'leaf_size': '50', 'metric': 'manhattan', 'outlier_label': '1', 'radius': '0.3', 'weights': 'distance'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.51,0.99,0.04,0.23,0.54,0.16,0.13,BalancedBaggingClassifier,"{'estimator': RadiusNeighborsClassifier(leaf_size=50, metric='manhattan', outlier_label=1,    radius=0.3, weights='distance'), 'n_estimators': 3, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': False}",k-NN,RadiusNeighborsClassifier,"{'leaf_size': '50', 'metric': 'manhattan', 'outlier_label': '1', 'radius': '0.3', 'weights': 'distance'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.51,0.99,0.04,0.23,0.54,0.16,0.13,BalancedBaggingClassifier,"{'estimator': RadiusNeighborsClassifier(leaf_size=50, metric='manhattan', outlier_label=1,    radius=0.3, weights='distance'), 'n_estimators': 3, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': False}",k-NN,RadiusNeighborsClassifier,"{'leaf_size': '50', 'metric': 'manhattan', 'outlier_label': '1', 'radius': '0.3', 'weights': 'distance'}"
