Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,fit_time
Balanced Bagging,0.84,0.91,0.77,0.51,0.89,0.79,0.35,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","MLPClassifier(alpha=0.5, hidden_layer_sizes=(22, 44, 44, 22),              learning_rate_init=0.3, max_iter=2000, random_state=42,              solver='sgd')",0.03
Balanced Bagging,0.84,0.91,0.77,0.51,0.89,0.79,0.35,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 7, 'oob_score': True, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","MLPClassifier(alpha=0.5, hidden_layer_sizes=(22, 44, 44, 22),              learning_rate_init=0.3, max_iter=2000, random_state=42,              solver='sgd')",0.03
Balanced Bagging,0.82,0.91,0.73,0.47,0.89,0.75,0.31,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 25, 'oob_score': True, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","MLPClassifier(alpha=0.5, hidden_layer_sizes=(22, 44, 44, 22),              learning_rate_init=0.3, max_iter=2000, random_state=42,              solver='sgd')",0.05
Balanced Bagging,0.82,0.91,0.73,0.47,0.89,0.75,0.31,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","MLPClassifier(alpha=0.5, hidden_layer_sizes=(22, 44, 44, 22),              learning_rate_init=0.3, max_iter=2000, random_state=42,              solver='sgd')",0.05
Balanced Bagging,0.82,0.91,0.73,0.47,0.89,0.75,0.31,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': True}","MLPClassifier(alpha=0.5, hidden_layer_sizes=(22, 44, 44, 22),              learning_rate_init=0.3, max_iter=2000, random_state=42,              solver='sgd')",0.05
Balanced Bagging,0.84,0.87,0.8,0.53,0.88,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'majority', 'warm_start': True}","MLPClassifier(alpha=0.3, hidden_layer_sizes=(22, 44, 44, 22),              learning_rate_init=0.1, max_iter=2000, random_state=42)",0.02
Balanced Bagging,0.81,0.77,0.86,0.55,0.88,0.85,0.42,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': False}","MLPClassifier(alpha=0.3, hidden_layer_sizes=(22, 44, 44, 22),              learning_rate_init=0.1, max_iter=2000, random_state=42)",0.03
Balanced Bagging,0.81,0.77,0.86,0.55,0.88,0.85,0.42,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': False}","MLPClassifier(alpha=0.3, hidden_layer_sizes=(22, 44, 44, 22),              learning_rate_init=0.1, max_iter=2000, random_state=42)",0.04
Balanced Bagging,0.81,0.77,0.86,0.55,0.88,0.85,0.42,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': True}","MLPClassifier(alpha=0.3, hidden_layer_sizes=(22, 44, 44, 22),              learning_rate_init=0.1, max_iter=2000, random_state=42)",0.04
Balanced Bagging,0.81,0.77,0.86,0.55,0.88,0.85,0.42,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': True}","MLPClassifier(alpha=0.3, hidden_layer_sizes=(22, 44, 44, 22),              learning_rate_init=0.1, max_iter=2000, random_state=42)",0.04
Balanced Bagging,0.84,0.87,0.8,0.53,0.88,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'auto', 'warm_start': True}","MLPClassifier(alpha=0.3, hidden_layer_sizes=(22, 44, 44, 22),              learning_rate='adaptive', learning_rate_init=0.1, max_iter=2000,              random_state=42)",0.02
Balanced Bagging,0.81,0.77,0.86,0.55,0.88,0.85,0.42,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': True}","MLPClassifier(alpha=0.3, hidden_layer_sizes=(22, 44, 44, 22),              learning_rate='adaptive', learning_rate_init=0.1, max_iter=2000,              random_state=42)",0.02
Balanced Bagging,0.81,0.77,0.86,0.55,0.88,0.85,0.42,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': False}","MLPClassifier(alpha=0.3, hidden_layer_sizes=(22, 44, 44, 22),              learning_rate='adaptive', learning_rate_init=0.1, max_iter=2000,              random_state=42)",0.03
Balanced Bagging,0.81,0.77,0.86,0.55,0.88,0.85,0.42,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': True}","MLPClassifier(alpha=0.3, hidden_layer_sizes=(22, 44, 44, 22),              learning_rate='adaptive', learning_rate_init=0.1, max_iter=2000,              random_state=42)",0.03
Balanced Bagging,0.81,0.77,0.86,0.55,0.88,0.85,0.42,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': False}","MLPClassifier(alpha=0.3, hidden_layer_sizes=(22, 44, 44, 22),              learning_rate='adaptive', learning_rate_init=0.1, max_iter=2000,              random_state=42)",0.03
